pp,horse,ml_odds,live_odds,scratched,as_of
1,Renegade,4-1,6-1,False,2026-05-02T16:00
2,Albus,30-1,44-1,False,2026-05-02T16:00
3,Intrepido,50-1,46-1,False,2026-05-02T16:00
4,Litmus Test,50-1,26-1,False,2026-05-02T16:00
5,Right to Party,30-1,N/A,True,2026-05-02T16:00
6,Commandment,6-1,5-1,False,2026-05-02T16:00
7,Danon Bourbon (JPN),20-1,14-1,False,2026-05-02T16:00
8,So Happy,15-1,5-1,False,2026-05-02T16:00
9,The Puma,10-1,N/A,True,2026-05-02T16:00
10,Wonder Dean (JPN),30-1,25-1,False,2026-05-02T16:00
11,Incredibolt,20-1,24-1,False,2026-05-02T16:00
12,Chief Wallabee,8-1,6-1,False,2026-05-02T16:00
13,Silent Tactic,20-1,N/A,True,2026-05-02T16:00
14,Potente,20-1,19-1,False,2026-05-02T16:00
15,Emerging Market,15-1,9-1,False,2026-05-02T16:00
16,Pavlovian,30-1,46-1,False,2026-05-02T16:00
17,Six Speed,50-1,33-1,False,2026-05-02T16:00
18,Further Ado,6-1,6-1,False,2026-05-02T16:00
19,Golden Tempo,30-1,25-1,False,2026-05-02T16:00
20,Fulleffort,20-1,N/A,True,2026-05-02T16:00
21A,Great White,50-1,22-1,False,2026-05-02T16:00
22A,Ocelli,50-1,81-1,False,2026-05-02T16:00
23,Robusta,50-1,80-1,False,2026-05-02T16:00
24A,Corona de Oro,50-1,N/A,True,2026-05-02T16:00
