pp,horse,ml,score,fair_prob,fair_odds,mkt_prob,mkt_odds,overlay,bet,f_last_beyer,f_top3_beyer,f_pace_fit,f_class_preps,f_how_won,f_distance_fit,f_connections,f_equipment,f_post,f_florida_derby,f_barn_pick
1,Renegade,4-1,81.57,0.14192226573549774,6.04611073405291,0.14821677247305398,5.746874751855775,0.9575317514169958,,92.5,92.5,90,95,54.0,100,84.0,50,40,50,60
18,Further Ado,6-1,81.27,0.13876467090816436,6.206445224532753,0.10586912319503855,8.445624652598086,1.3107189964398178,YES,92.5,92.5,75,92,54.0,100,67.5,50,70,50,90
6,Commandment,6-1,75.54,0.09029025019326219,10.075392945080397,0.10586912319503855,8.445624652598086,0.8528478131147265,,67.5,72.5,75,100,52.0,77.5,82.5,50,90,100,60
13,Silent Tactic,20-1,73.73,0.07882888442466081,11.685705338830854,0.03528970773167951,27.336873957794264,2.2337641621751447,YES,77.5,82.5,90,72,52.0,77.5,62.5,50,90,50,60
20,Fulleffort,20-1,73.03999999999999,0.07485324649800774,12.359473994579721,0.03528970773167951,27.336873957794264,2.1211070113457504,YES,72.5,72.5,90,68,69.0,82.5,82.5,50,70,50,60
8,So Happy,15-1,70.62,0.06242897329953732,15.018203522296455,0.04631774139782936,20.589999205938483,1.3478414839645656,YES,75.0,75.0,50,95,56.0,85.0,70.0,50,90,50,60
9,The Puma,10-1,70.57,0.06219530305520437,15.078384554415676,0.06737126021502453,13.843124454082709,0.923172623707789,,67.5,67.5,90,75,48.0,77.5,68.5,50,90,50,60
15,Emerging Market,15-1,68.69,0.054015955941242345,17.513048275731403,0.04631774139782936,20.589999205938483,1.1662044458794305,,65.0,65.0,75,85,54.0,65.0,81.0,50,90,50,60
19,Golden Tempo,30-1,65.56,0.04271411737661552,22.411463502403187,0.023905931044040964,40.83062346150581,1.7867581604717662,YES,62.5,62.5,90,65,48.0,72.5,55.0,50,70,50,60
14,Potente,20-1,62.44,0.03380232149153557,28.583766909335196,0.03528970773167951,27.336873957794264,0.9578521235864836,,65.0,65.0,30,78,64.0,75.0,75.0,50,90,50,60
12,Chief Wallabee,8-1,59.724,0.02757279183202081,35.26763680994686,0.08234265137391887,11.144374553340397,0.33485431148934547,,65.0,72.5,30,50.7,54.0,75.0,61.0,80,90,50,60
11,Incredibolt,20-1,58.07,0.02435603062928676,40.057593300837624,0.03528970773167951,27.336873957794264,0.6901737700542754,,62.5,62.5,50,65,71.0,30,57.5,50,90,50,60
5,Right to Party,30-1,57.37,0.02311032490636618,42.27070277253137,0.023905931044040964,40.83062346150581,0.9667192992312632,,42.5,42.5,90,55.2,52.0,52.5,50.0,50,90,50,60
4,Litmus Test,50-1,56.08,0.020979158306496545,46.66635464542605,0.014531056124809212,67.81812246892892,1.4437462856315266,,45.0,77.5,30,72,54.0,45.0,78.5,80,65,50,60
16,Pavlovian,30-1,55.48,0.02005602251198866,48.86033493940493,0.023905931044040964,40.83062346150581,0.8389559258344815,,65.0,65.0,30,55.2,52.0,55.0,68.5,50,70,50,60
7,Danon Bourbon (JPN),20-1,53.98,0.017922008510261735,54.797317551067046,0.03528970773167951,27.336873957794264,0.5078536962258029,,50,50,50,55,69.0,40,57.5,50,90,50,60
2,Albus,30-1,52.949999999999996,0.016589657902954847,59.278518451057764,0.023905931044040964,40.83062346150581,0.6939557330936983,,47.5,47.5,30,85,77.0,37.5,58.5,50,65,50,60
3,Intrepido,50-1,50.18,0.013477605865750107,73.19715415044482,0.014531056124809212,67.81812246892892,0.9275035310571457,,37.5,72.5,30,72,52.0,37.5,47.5,50,65,50,60
10,Wonder Dean (JPN),30-1,49.98,0.013276950455614701,74.31850053542296,0.023905931044040964,40.83062346150581,0.5553831152258866,,50,50,30,65,54.0,30,55.0,50,90,50,60
17,Six Speed,50-1,49.29,0.01260734377315452,78.31884923526498,0.014531056124809212,67.81812246892892,0.8676137277888362,,50,50,30,60,67.0,30,55.0,50,70,50,60
24A,Corona de Oro,50-1,47.3,0.010859382830771947,91.08626453119659,0.014531056124809212,67.81812246892892,0.7473223375850478,,52.5,52.5,30,35,95,30,60.0,50,30,50,60
22A,Ocelli,50-1,44.379999999999995,0.008723578073703709,113.63186224175523,0.014531056124809212,67.81812246892892,0.6003402642434048,,42.5,42.5,75,22.8,30,32.5,45.0,50,30,50,60
23,Robusta,50-1,40.324,0.006435499647364353,154.38809024867993,0.014531056124809212,67.81812246892892,0.4428790028810689,,15.0,57.5,50,50.7,44.0,5.0,66.0,50,30,50,60
21A,Great White,50-1,34.69,0.004217655830537088,236.09853060074303,0.014531056124809212,67.81812246892892,0.2902511554776934,,10.0,52.5,30,55,52.0,0,37.5,50,30,50,60
